country,date,total_vaccinations,people_vaccinated,daily_vaccinations
United States,12/20/20,556208,556208,
United States,12/21/20,614117,614117,57909
United States,12/22/20,,,127432
United States,12/23/20,1008025,1008025,150606
United States,12/24/20,,,191001
United States,12/25/20,,,215238
United States,12/26/20,1944585,1944585,231396
United States,12/27/20,,,211379
United States,12/28/20,2127143,2127143,216147
United States,12/29/20,,,235685
United States,12/30/20,2794588,2794588,255223
United States,12/31/20,,,278776
United States,1/1/21,,,302329
United States,1/2/21,4225756,4225756,325882
United States,1/3/21,,,336949
United States,1/4/21,4563260,4563260,348017
United States,1/5/21,4836469,4836469,339372
United States,1/6/21,5306797,5306797,358887
United States,1/7/21,5919418,5919418,378253
United States,1/8/21,6688231,6688231,419933
United States,1/9/21,,,461263
United States,1/10/21,,,546636
United States,1/11/21,8987322,8987322,632009
United States,1/12/21,9327138,9327138,641524
United States,1/13/21,10278462,,710238
United States,1/14/21,11148991,9690757,747082
United States,1/15/21,12279180,10595866,798707
United States,1/16/21,,,811670
United States,1/17/21,,,824632
United States,1/18/21,,,837595
United States,1/19/21,15707588,13595803,911493
United States,1/20/21,16525281,14270441,892403
United States,1/21/21,17546374,15053257,913912
United States,1/22/21,19107959,16243093,975540
United States,1/23/21,20537990,17390345,1057387
United States,1/24/21,21848655,18502131,1122182
United States,1/25/21,22734243,19252279,1126251
United States,1/26/21,23540994,19902237,1119058
United States,1/27/21,24652634,20687970,1161050
United States,1/28/21,26193682,21698606,1235330
United States,1/30/21,27884661,22858318,1253815
United States,1/31/21,29577902,24064165,1291416
United States,2/1/21,31123299,25201143,1324949
United States,2/2/21,32222402,26023153,1355451
United States,2/3/21,32780860,26440836,1319981
United States,2/4/21,33878254,27154956,1317946
United States,2/5/21,35203710,27905197,1287147
United States,2/6/21,36819212,28909497,1276364
United States,2/7/21,39037964,30250964,1351437
United States,2/8/21,41210937,31579100,1441091
United States,2/9/21,42417617,32340146,1456459
United States,2/10/21,43206190,32867213,1489333
United States,2/11/21,44769970,33783384,1555959
United States,2/12/21,46390270,34723964,1598080
United States,2/13/21,48410558,35834855,1655907
United States,2/14/21,50641884,37056122,1657703
United States,2/15/21,52884356,38292270,1667631
United States,2/16/21,,,1662106
United States,2/17/21,55220364,39670551,1716311
United States,2/18/21,56281827,40268009,1644551
United States,2/19/21,57737767,41021049,1621071
United States,2/20/21,59585043,41977401,1596355
United States,2/21/21,61289500,42809595,1521088
United States,2/22/21,63090634,43628092,1458040
United States,2/23/21,64177474,44138118,1446445
United States,2/24/21,65032083,44544969,1401674
United States,2/25/21,66464947,45237143,1454731
United States,2/26/21,68274117,46074392,1505193
United States,2/27/21,70454064,47184199,1552717
United States,2/28/21,72806180,48435536,1645240
United States,3/1/21,75236003,49772180,1735053
United States,3/2/21,76899987,50732997,1817502
United States,3/3/21,78631601,51755447,1942788
United States,3/4/21,80540474,52855579,2010790
United States,3/5/21,82572848,54035670,2042676
United States,3/6/21,85008094,55547697,2079147
United States,3/7/21,87912323,57358849,2158020
United States,3/8/21,90351750,58873710,2159392
United States,3/9/21,92089852,60005231,2169981
United States,3/10/21,93692598,61088527,2151571
United States,3/11/21,95721290,62451150,2168688
United States,3/12/21,98203893,64071674,2233006
United States,3/13/21,101128005,65965305,2302844
United States,3/14/21,105703501,68884011,2541597
United States,3/15/21,107060274,69784210,2386932
United States,3/16/21,109081860,71054445,2427430
United States,3/17/21,110737856,72135616,2435037
United States,3/18/21,113037627,73669956,2473762
United States,3/19/21,115730008,75495716,2503731
United States,3/20/21,118313818,77230061,2455116
United States,3/21/21,121441497,79367225,2248285
United States,3/22/21,124481412,81415769,2488734
United States,3/23/21,126509736,82772416,2489697
United States,3/24/21,128217029,83930495,2497025
United States,3/25/21,130473853,85472166,2490889
United States,3/26/21,133305295,87343622,2510755
United States,3/27/21,136684688,89559225,2624410
United States,3/28/21,140180735,91707729,2677034
United States,3/29/21,143462691,93631163,2711611
United States,3/30/21,145812835,95015762,2757586
United States,3/31/21,147602345,96044046,2769331
United States,4/1/21,150273292,97593290,2828491
United States,4/2/21,153631404,99565311,2903730
United States,4/3/21,157606463,101804762,2988825